Number of stations is:
500
nw stn lat lon:
SY AAGG  83.6842  180.0000
SY AAGH  83.6297  172.5139
SY AAGI  83.4689  165.2766
SY AAGJ  83.2093  158.4904
SY AAGK  82.8617  152.2852
SY AAGL  82.4383  146.7163
SY AAGM  81.9509  141.7811
SY AAGN  81.4105  137.4394
SY AAGO  80.8265  133.6326
SY AAGP  80.2066  130.2964
SY AAGQ  79.5572  127.3679
SY AAGR  78.8835  124.7900
SY AAGS  78.1897  122.5126
SY AAGT  77.6008  -126.6753
SY AAGU  78.2588  -129.0679
SY AAGV  78.8935  -131.7413
SY AAGW  79.5008  -134.7334
SY AAGX  80.0757  -138.0844
SY AAGY  80.6121  -141.8348
SY AAGZ  81.1031  -146.0212
SY AAHA  81.5408  -150.6701
SY AAHB  81.9165  -155.7899
SY AAHC  82.2212  -161.3604
SY AAHD  82.4465  -167.3245
SY AAHE  82.5849  -173.5831
SY AAHF  82.6316  180.0000
SY AAHG  82.5849  173.5831
SY AAHH  82.4465  167.3245
SY AAHI  82.2212  161.3604
SY AAHJ  81.9165  155.7899
SY AAHK  81.5408  150.6701
SY AAHL  81.1031  146.0212
SY AAHM  80.6121  141.8348
SY AAHN  80.0757  138.0844
SY AAHO  79.5008  134.7334
SY AAHP  78.8935  131.7413
SY AAHQ  78.2588  129.0679
SY AAHR  77.6008  126.6753
SY AAHS  76.9543  -130.4490
SY AAHT  77.5768  -132.9011
SY AAHU  78.1739  -135.6083
SY AAHV  78.7413  -138.5980
SY AAHW  79.2744  -141.8970
SY AAHX  79.7679  -145.5294
SY AAHY  80.2156  -149.5138
SY AAHZ  80.6112  -153.8586
SY AAIA  80.9476  -158.5572
SY AAIB  81.2183  -163.5829
SY AAIC  81.4168  -168.8851
SY AAID  81.5381  -174.3892
SY AAIE  81.5789  180.0000
SY AAIF  81.5381  174.3892
SY AAIG  81.4168  168.8851
SY AAIH  81.2183  163.5829
SY AAII  80.9476  158.5572
SY AAIJ  80.6112  153.8586
SY AAIK  80.2156  149.5138
SY AAIL  79.7679  145.5294
SY AAIM  79.2744  141.8970
SY AAIN  78.7413  138.5980
SY AAIO  78.1739  135.6083
SY AAIP  77.5768  132.9011
SY AAIQ  76.9543  130.4490
SY AAIR  76.2582  -133.8597
SY AAIS  76.8467  -136.3284
SY AAIT  77.4079  -139.0247
SY AAIU  77.9382  -141.9675
SY AAIV  78.4333  -145.1734
SY AAIW  78.8884  -148.6558
SY AAIX  79.2985  -152.4221
SY AAIY  79.6582  -156.4710
SY AAIZ  79.9621  -160.7895
SY AAJA  80.2049  -165.3509
SY AAJB  80.3821  -170.1129
SY AAJC  80.4901  -175.0189
SY AAJD  80.5263  180.0000
SY AAJE  80.4901  175.0189
SY AAJF  80.3821  170.1129
SY AAJG  80.2049  165.3509
SY AAJH  79.9621  160.7895
SY AAJI  79.6582  156.4710
SY AAJJ  79.2985  152.4221
SY AAJK  78.8884  148.6558
SY AAJL  78.4333  145.1734
SY AAJM  77.9382  141.9675
SY AAJN  77.4079  139.0247
SY AAJO  76.8467  136.3284
SY AAJP  76.2582  133.8597
SY AAJQ  75.5199  -136.9384
